index,Drug_Name,Reason,Description
9096,3D Forte Drops 15ml3D Forte 60K Chew Tablet 4'S,Supplement,enhances the body immunity
9097,4 Bones Tablet 15'S,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body"
9098,4U Q10 Capsule 10'S,Supplement,"Â Vitamin C,Â Vitamin A, Vitamin D3, Vitamin E, Vitamin B3, Vitamin B5, Vitamin B2,Â Vitamin B6, Vitamin B1, Biotin"
9099,4U Q10 Forte 300mg Capsule 30'S4U Q10 Forte Capsule 15'S,Supplement,"Minerals such as Iron, Iodine, Zinc, Manganese, Molybdenum"
9100,4U Q10 Gold Capsule 10'S,Supplement,"Â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition"
9101,4U Q10 Plus Capsule 10'S,Supplement,"used during increase in demand for vitamins, minerals and trace elements"
9102,6 ART Tablet 10's,Supplement,enhances the body immunity
9103,A TO Z Powder 1KgA TO Z Gold Ns Capsule 15'SNEW A TO Z Gold Softgel 15'SA TO Z Syrup 100ml,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body"
9104,A TO Z NS Drops 15mlA TO Z NS Syrup 200ml,Supplement,Â lowers general cholesterol level
9105,A To Z Ns New Tablet 15's,Supplement,prevents cholesterol from depositing on artery walls
9106,A TO Z Ors Sachet 4.3GmA TO Z Ors Sachet 21.5gm,Supplement,"Â Vitamin C,Â Vitamin A, Vitamin D3, Vitamin E, Vitamin B3, Vitamin B5, Vitamin B2,Â Vitamin B6, Vitamin B1, Biotin"
9107,A TO Z Woman Capsule 15'S,Supplement,"Minerals such as Iron, Iodine, Zinc, Manganese, Molybdenum"
9108,Abdec Forte Drops 15ml,Supplement,"Â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition"
9109,Abdifer XT Tablet 10'S,Supplement,"used during increase in demand for vitamins, minerals and trace elements"
9110,Abetcola Tablet 10'S,Supplement,enhances the body immunity
9111,Abitol 2mg Syrup 200ml,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body"
9112,Abocal 500mg Tablet 15'S,Supplement,Â lowers general cholesterol level
9113,Abound Plus Capsule 10'S,Supplement,prevents cholesterol from depositing on artery walls
9114,Absolut Syrup 200mlAbsolut Capsule 10'SAbsolut DM Injection 1mlAbsolut Syrup 100ml,Supplement,"lowersÂ the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
9115,Absolut 3.6.9 Capsule 10'S,Supplement,Â antioxidant and memory enhancement property
9116,Absolut 3G Capsule 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
9117,Absolut DM 500mcg Injection 4mlAbsolut DM Capsule 10'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
9118,Absolut Woman Capsule 10'S,Supplement,powerful antioxidant that strengthens and protects living tissue
9119,Absotrend Q10 Tablet 10's,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
9120,Accura Tablet 10'S,Supplement,"Â Vitamin C,Â Vitamin A, Vitamin D3, Vitamin E, Vitamin B3, Vitamin B5, Vitamin B2,Â Vitamin B6, Vitamin B1, Biotin"
9121,ACE EX Capsule 10'S,Supplement,"Minerals such as Iron, Iodine, Zinc, Manganese, Molybdenum"
9122,Aces Capsule 10'S,Supplement,"Â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition"
9123,Acigene Orange Flavour Tablet 10'S,Supplement,"used during increase in demand for vitamins, minerals and trace elements"
9124,ACM 200mg Tablet 90'S,Supplement,enhances the body immunity
9125,Actibase Vanilla Powder 200gmActibase Powder 200gmActibase Neutral Powder 200gm,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body"
9126,Actifol Tablet 10'S,Supplement,Â lowers general cholesterol level
9127,Actigrow Vanilla Powder 400gmActigrow Choco Powder 400gmActigrow Chocolate Powder 180gmActigrow Powder 400gm,Supplement,prevents cholesterol from depositing on artery walls
9128,Actihep Capsule 10'S,Supplement,"Â Vitamin C,Â Vitamin A, Vitamin D3, Vitamin E, Vitamin B3, Vitamin B5, Vitamin B2,Â Vitamin B6, Vitamin B1, Biotin"
9129,Actilife Tablet 15'SActilife Liquid 200mlActilife Powder 300gm,Supplement,"Minerals such as Iron, Iodine, Zinc, Manganese, Molybdenum"
9130,Actilife Kid Powder 200gm,Supplement,"Â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition"
9131,Actilife Mom Powder 200gm,Supplement,"used during increase in demand for vitamins, minerals and trace elements"
9132,Actilife Pro Powder 200gm,Supplement,enhances the body immunity
9133,Activate Tablet 10'S,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body"
9134,Activision Capsule 10'S,Supplement,Â lowers general cholesterol level
9135,Activkids Unobiotics Junior Sachet 1gm,Supplement,prevents cholesterol from depositing on artery walls
9136,Acucal Tablet 10'S,Supplement,"lowersÂ the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
9137,Acvit 12 500Mcg Injection 1ml,Supplement,Â antioxidant and memory enhancement property
9138,Acylcar Tablet 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
9139,Adb Min Multi Power Syrup 100mlAdb Min Multi Power Syrup 200ml,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
9140,Adboost Tablet 10's,Supplement,powerful antioxidant that strengthens and protects living tissue
9141,ADD EPA Capsule 4's,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
9142,Add3 400IU Capsule 10'SAdd3 2000IU Capsule 10'SAdd3 6000IU Capsule 4'S,Supplement,"Â Vitamin C,Â Vitamin A, Vitamin D3, Vitamin E, Vitamin B3, Vitamin B5, Vitamin B2,Â Vitamin B6, Vitamin B1, Biotin"
9143,Addphos Tablet 10'S,Supplement,"Minerals such as Iron, Iodine, Zinc, Manganese, Molybdenum"
9144,ADEB T Syrup 200mlAdeb T Capsule 10'SAdeb T Oral Drops 15ml,Supplement,"Â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition"
9145,Adecoba Capsule 10'S,Supplement,"used during increase in demand for vitamins, minerals and trace elements"
9146,Adenoxyl HB Tablet 10'S,Supplement,enhances the body immunity
9147,Adesam 200mg Tablet 10'SAdesam 400mg Tablet 10'S,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body"
9148,Adetral 400mg Tablet 10'S,Supplement,Â lowers general cholesterol level
9149,Adferol 60K Capsule 4'S,Supplement,prevents cholesterol from depositing on artery walls
9150,Adgain Capsule 10'S,Supplement,"Â Vitamin C,Â Vitamin A, Vitamin D3, Vitamin E, Vitamin B3, Vitamin B5, Vitamin B2,Â Vitamin B6, Vitamin B1, Biotin"
9151,Adgain Plus Capsule 10'S,Supplement,"Minerals such as Iron, Iodine, Zinc, Manganese, Molybdenum"
9152,Adhair Tablet 10'S,Supplement,"Â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition"
9153,Admax Capsule 10'S,Supplement,"used during increase in demand for vitamins, minerals and trace elements"
9154,Admax R 500/7.5/2.5mg Capsule 10'S,Supplement,enhances the body immunity
9155,ADMAX XT Capsule 10's,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body"
9156,Admensia Tablet 10'S,Supplement,Â lowers general cholesterol level
9157,Adtrol Softgel 10'S,Supplement,prevents cholesterol from depositing on artery walls
9158,Adtrol D 60000IU Tablet 4'SAdtrol D 60000IU Powder 1gm,Supplement,"lowersÂ the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
9159,Adtrol HD Tablet 15'S,Supplement,Â antioxidant and memory enhancement property
9160,Adtrol K2 Tablet 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
9161,AELITA Tablet 10's,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
9162,Aequical Injection 10mlAequical Tablet 15'sAequical Syrup 150ml,Supplement,powerful antioxidant that strengthens and protects living tissue
9163,Aequical Plus Tablet 15's,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
9164,AFD 3 Capsule 15'S,Supplement,"Â Vitamin C,Â Vitamin A, Vitamin D3, Vitamin E, Vitamin B3, Vitamin B5, Vitamin B2,Â Vitamin B6, Vitamin B1, Biotin"
9165,Afd3 60000IU Capsule 4'S,Supplement,"Minerals such as Iron, Iodine, Zinc, Manganese, Molybdenum"
9166,Aferite Tablet 10'S,Supplement,"Â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition"
9167,Afla B2 Capsule 10'S,Supplement,"used during increase in demand for vitamins, minerals and trace elements"
9168,Afol 5mg Tablet 10'SAfol 5mg Capsule 10'S,Supplement,enhances the body immunity
9169,Afol Plus Capsule 10'S,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body"
9170,Agein Capsule 10'S,Supplement,Â lowers general cholesterol level
9171,Ageless Tablet 10'SAgeless Liquid 200ml,Supplement,prevents cholesterol from depositing on artery walls
9172,AGENON Capsule 10's,Supplement,"Â Vitamin C,Â Vitamin A, Vitamin D3, Vitamin E, Vitamin B3, Vitamin B5, Vitamin B2,Â Vitamin B6, Vitamin B1, Biotin"
9173,AGEPRO Capsule 10's,Supplement,"Minerals such as Iron, Iodine, Zinc, Manganese, Molybdenum"
9174,Agog OD Capsule 10'S,Supplement,"Â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition"
9175,Aiovit Softgel 10'S,Supplement,"used during increase in demand for vitamins, minerals and trace elements"
9176,Aisa Tablet 10'S,Supplement,enhances the body immunity
9177,AL Mity D3 Tablet 10'S,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body"
9178,ALA 100mg Capsule 15'S,Supplement,Â lowers general cholesterol level
9179,ALA Plus Capsule 10'S,Supplement,prevents cholesterol from depositing on artery walls
9180,Alace 600mg Capsule 10'S,Supplement,"lowersÂ the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
9181,Aladin Capsule 30'S,Supplement,Â antioxidant and memory enhancement property
9182,Alafin Capsule 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
9183,Alamin Xtra Capsule 10'SAlamin Rgx Sachet PowderAlamin SN Injection 200mlAlamin Liquid 100mlAlamin M Forte Capsule 10'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
9184,Alamin Forte Capsule 10'S,Supplement,powerful antioxidant that strengthens and protects living tissue
9185,Alanz D Tablet 10'SAlanz Tablet 10'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
9186,Alavit Capsule 10'S,Supplement,"Â Vitamin C,Â Vitamin A, Vitamin D3, Vitamin E, Vitamin B3, Vitamin B5, Vitamin B2,Â Vitamin B6, Vitamin B1, Biotin"
9187,Alavit Z Capsule 10'S,Supplement,"Minerals such as Iron, Iodine, Zinc, Manganese, Molybdenum"
9188,Albubet 20% Injection 100ml,Supplement,"Â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition"
9189,Albucel Infusion 100ml,Supplement,"used during increase in demand for vitamins, minerals and trace elements"
9190,ALBUDAC 20% Injection 10mlALBUDAC 20% Injection 50mlALBUDAC 20% Injection 100ml,Supplement,enhances the body immunity
9191,Albull 20% Injection 100ml,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body"
9192,Albumen Care Mango Flavour Powder 400gm,Supplement,Â lowers general cholesterol level
9193,Albumeon 20% Infusion 100ml,Supplement,prevents cholesterol from depositing on artery walls
9194,Albumin 20% Infusion 100mlAlbumin 20% Infusion 50ml,Supplement,"Â Vitamin C,Â Vitamin A, Vitamin D3, Vitamin E, Vitamin B3, Vitamin B5, Vitamin B2,Â Vitamin B6, Vitamin B1, Biotin"
9195,Albumin Gcc 20% Infusion 100ml,Supplement,"Minerals such as Iron, Iodine, Zinc, Manganese, Molybdenum"
9196,Albumingrifols 20% Prefilled Syringe 100ml,Supplement,"Â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition"
9197,Albunil Tablet 10'S,Supplement,"used during increase in demand for vitamins, minerals and trace elements"
9198,Albuprime 20% Injection 100ml,Supplement,enhances the body immunity
9199,Alburel 20% Injection 50mlAlburel Injection 100mlAlburel 5% Injection 100ml,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body"
9200,Alburen 20% Infusion 100ml,Supplement,Â lowers general cholesterol level
9201,Albutas 20% Injection,Supplement,prevents cholesterol from depositing on artery walls
9202,Albutein Infusion 100ml,Supplement,"lowersÂ the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
9203,Alcal Tablet 15'S,Supplement,Â antioxidant and memory enhancement property
9204,Vitakind Plus Capsule 10'S,Supplement,Â antioxidant and memory enhancement property
9205,Vital Z Powder 140gmVital Z Powder 210gm,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
9206,Vitalfit Softgel 10'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
9207,Vitalife Capsule 30'S,Supplement,powerful antioxidant that strengthens and protects living tissue
9208,Vitalux Plus Tablet 30'SVitalux Plus TR Tablet 30'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
9209,Vitamin A Chew Tablet 10'S,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
9210,Vitamin B Complex (Indoco) Injection 10ml,Supplement,Â reduce hair loss
9211,Vitamin C Injection 1.5ml,Supplement,improvesÂ hair growth
9212,Vitamin C(Phc) Tablet 10'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
9213,Vitaneo D3 600000IU Injection 6mlVitaneo D3 Granule 1gm,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
9214,VITANEURON D3 Capsule 10's,Supplement,Â reduce hair loss
9215,VITANEURON LC Tablet 10's,Supplement,improvesÂ hair growth
9216,VITANEURON OD Capsule 10's,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
9217,Vitanext Tablet 10'S,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
9218,Vitanova 6L Injection 1ml,Supplement,Â reduce hair loss
9219,Vitanova D3 Drops 15mlVitanova D3 Granules 1gm,Supplement,maintain the hair growth cycle
9220,Vitanova D3 6L Injection 1ml,Supplement,strengthens the hair from the roots
9221,Vitanova D3 DT 1000IU Tablet 10'S,Supplement,improves immunity
9222,Vitanova D3 SG Capsule 4'S,Supplement,improves stability
9223,Vitanova DT 1000IU Tablet 10'S,Supplement,improves resistance
9224,Vitanova SG Capsule 10'S,Supplement,improves immunity
9225,Vitaresp Tablet 10'S,Supplement,improves stability
9226,Vitasafe Tablet 10'S,Supplement,improves resistance
9227,Vitasafe Plus Suspension 100ml,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
9228,Vitasonic Q 300mg Capsule 10'SVitasonic MV Tablet 10'SVitasonic Capsule 10'S,Supplement,"lowersÂ the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
9229,Vitasonic Plus Capsule 10'S,Supplement,Â antioxidant and memory enhancement property
9230,Vitasonic Q 100mg Capsule 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
9231,Vitastasis D3 60000IU Tablet 4'S,Supplement,improves immunity
9232,Vitasurge Tablet 10'SVitasurge Syrup 200ml,Supplement,improves stability
9233,Vitatrol Plus Capsule 10'S,Supplement,improves resistance
9234,VITATUDE Syrup 200ml,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
9235,Vitcobin 500mcg Injection 5ml,Supplement,"lowersÂ the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
9236,Vitcofol Drops 15mlVitcofol Injection 10mlVitcofol Syrup 180mlVitcofol C Injection,Supplement,Â antioxidant and memory enhancement property
9237,Vitcofol Com Syrup 100mlVitcofol Com 100mg Tablet 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
9238,Vitcofol HB Capsule 10'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
9239,Vitcol D3 Tablet 4's,Supplement,powerful antioxidant that strengthens and protects living tissue
9240,Vitconyl Capsule 15'SVitconyl Capsule 10'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
9241,VITENCIAL Tablet 10's,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
9242,Viter Capsule 10'S,Supplement,Â reduce hair loss
9243,Viterma Capsule 10'sViterma Capsule 15'S,Supplement,improvesÂ hair growth
9244,Vitewel Tablet 10's,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
9245,Vitewel Od Tablet 10's,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
9246,Vitexid Plus Tablet 10'S,Supplement,Â reduce hair loss
9247,VITEZAVIT Capsule 10's,Supplement,improvesÂ hair growth
9248,Vitibex Tablet 10'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
9249,Vitibex Kid Tablet 10'S,Supplement,improves hair growth
9250,VITNEURIN Syrup 100mlVitneurin Injection 2ml,Supplement,reduces hair loss
9251,Actilyse 50mg Injection 50mlActilyse 20mg Injection 20ml,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9252,Arixtra 2.5mg Injection 0.5ml,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9253,Aspent 60mg Tablet 14'S,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9254,Aspigrel 150/75mg Tablet 10'S,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9255,Aspigrel Loading 150/75mg Tablet 1'S,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9256,BIO Pdf Gel 7.5gm,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9257,Clopione 75mg Tablet 14'S,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9258,Dabifib 75mg Capsule 10'S,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9259,Dabipack 110mg Capsule 10'S,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9260,Delay Release Asprin 50mg Tablet 14'S,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9261,Elaxim 30mg InjectionElaxim 40mg Injection,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9262,Fondaflo 7.5mg Injection 1'S,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9263,Fondakem 2.5mg Injection 0.5ml,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9264,Hirudoid Cream 5gmHirudal 250IU Cream 14GmHirudoid Cream 14Gm,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9265,Icikinase 15Laciu Injection,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9266,Lupiflo 1500000IU Injection,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9267,Metalyse 40mg Injection,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9268,Mirel 18mg Injection,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9269,Prasact 10mg Tablet 10'S,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9270,Prasumax 5mg Tablet 10'S,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9271,Prasuvas 5mg Tablet 10'S,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9272,Retefast 18mg Injection 1,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9273,Stiloz 50mg Tablet 15'S,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9274,Stozic 100mg Tablet 10'S,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9275,Thromboflux 1500000IU Injection 10mlThromboflux 750000 IU Injection 5ml,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9276,Thrombostat 30mg Injection(Pfs) 0.3ml,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9277,Tirocip Injection 100ml,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9278,TROCEM M Tablet 10's,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9279,U Frag 5000 IU Injection 1'SU Frag 500000 IU Injection 1'SU Frag 1000000 IU Injection 1'S,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9280,UNI Kinase 10IU Injection,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9281,Velix 40mg InjectionVelix 50mg Injection 1'SVelix 30mg Injection,Thrombolysis,"Â used to prevent formation of blood clots , which can lead to atherothrombotic events (such as stroke, heart attack, or death)"
9282,ABHAY TOX Injection 0.5ml,Vaccines,used to treat rabies
9283,Acthib Vaccine 1'S,Vaccines,used to prevent hepatitis B infection
9284,Adacel Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9285,Aggs 10000IU Injection 1'S,Vaccines,used to prevent hepatitis B infection
9286,Agrippal S1 0.5ml Injection 1'S,Vaccines,used to prevent hepatitis B infection
9287,Asvs Injection 10ml,Vaccines,used to prevent hepatitis B infection
9288,Atgam 250mg Injection 5ml,Vaccines,used to prevent hepatitis B infection
9289,Avaxim 80mg InjectionAvaxim 160IU Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9290,Beats 1500IU Injection 1ml,Vaccines,used to prevent hepatitis B infection
9291,Berab 2.5Iu Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9292,Berirab P 300 IU Injection 2mlBerirab P 750mg Injection 5ml,Vaccines,used to prevent hepatitis B infection
9293,Bett Injection 5mlBett Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9294,Bevac Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9295,Bharglob 10% Injection 1mlBharglob 16.50% Injection 1mlBharglob 16.5% Injection 2ml,Vaccines,used to prevent hepatitis B infection
9296,Biovac 25Mcg Injection 10ml,Vaccines,used to prevent hepatitis B infection
9297,Biovac A Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9298,Biovac B 100mcg Injection 10mlBiovac B 10mcg Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9299,Biovac Flu ML Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9300,Biovac Typhoid 25Mcg Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9301,Biovac V Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9302,Boostrix Injection,Vaccines,used to prevent hepatitis B infection
9303,CARIG 1200iu Injection 1's,Vaccines,used to prevent hepatitis B infection
9304,Cefvac B Injection 1ml,Vaccines,used to prevent hepatitis B infection
9305,Cervarix 20mcg Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9306,Clindazole Suppository 3'S,Vaccines,used to prevent hepatitis B infection
9307,Combefive Injectionpfs 0.5mlCombefive Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9308,Dysport 500 IU Injection 1'S,Vaccines,used to prevent hepatitis B infection
9309,Easyfive TT Injectionpfs 1'S,Vaccines,used to prevent hepatitis B infection
9310,Easyfour TT Injectionpfs 0.5ml,Vaccines,used to prevent hepatitis B infection
9311,Easysix Injectionpfs 0.5ml,Vaccines,used to prevent hepatitis B infection
9312,Elovac B Injection 5ml,Vaccines,used to prevent hepatitis B infection
9313,Engerix B Adult 20mcg Injection 1mlEngerix B Paed 10mcg Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9314,Enteroshield Injection(Pfs) 0.5ml,Vaccines,used to prevent hepatitis B infection
9315,Equirab 1500 IU Injection 5ml,Vaccines,used to prevent hepatitis B infection
9316,Fluarix Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9317,Fluquadri Injection 0.25mlFluquadri Injection(Pfs) 0.5ml,Vaccines,used to prevent hepatitis B infection
9318,Gamma I.V. 500 mg Injection 10mlGamma I.V. 5000 mg Infusion 100ml,Vaccines,used to prevent hepatitis B infection
9319,Gammarp Injection 1'S,Vaccines,used to prevent hepatitis B infection
9320,Gamunex 10% Infusion 50ml,Vaccines,used to prevent hepatitis B infection
9321,Gardasil Injection(Pfs) 0.5mlGardasil Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9322,Genevac B Injection 1mlGenevac B Injection 10mlGenevac B Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9323,Glataxone Injection,Vaccines,used to prevent hepatitis B infection
9324,Verorab Injection 1'S,Vaccines,used to prevent hepatitis B infection
9325,Vinobulin 100mg InjectionVinobulin 300mcg Injection 2ml,Vaccines,used to prevent hepatitis B infection
9326,Winrho Sdf 300mcg Injection 1ml,Vaccines,used to prevent hepatitis B infection
9327,Worab Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9328,Xprab Injection,Vaccines,used to prevent hepatitis B infection
9329,Zavinex 3Miu Injection 1'S,Vaccines,used to prevent hepatitis B infection
9330,Zostavax Injection 0.65ml,Vaccines,used to prevent hepatitis B infection
9331,Zuvicella Injection 0.5ml,Vaccines,used to prevent hepatitis B infection
9332,Zuvirab Injection 1'S,Vaccines,used to prevent hepatitis B infection
9333,Aldryl Capsule 10'S,Vertigo,"used to treat conditions such as hay fever, rashes (nettle rash or hives)"
9334,Apizine 5mg Syrup 200ml,Vertigo,Â used to treat difficult sleeping (insomnia)
9335,Apizine Plus 5mg Syrup 200ml,Vertigo,treatÂ vomiting (travel sickness)
9336,Avomine Tablet 10'S,Vertigo,"used to treat conditions such as hay fever, rashes (nettle rash or hives)"
9337,B Stil 16mg Tablet 10'SB Stil 8mg Tablet 10'SB Stil 24mg Tablet 10'S,Vertigo,Â used to treat difficult sleeping (insomnia)
9338,BALANSE 8mg Tablet 10'sBALANSE 16mg Tablet 10's,Vertigo,treatÂ vomiting (travel sickness)
9339,Best 16mg Tablet 10'S,Vertigo,treat hearing difficulty
9340,Beta Stil 8mg Tablet 10'S,Vertigo,treat dizziness
9341,Betacitam Tablet 10'S,Vertigo,treat ringing in the ears (tinnitus)
9342,Betahist Forte Tablet 10'SBetahist Tablet 10'S,Vertigo,"used to treat conditions such as hay fever, rashes (nettle rash or hives)"
